municipality,province,inhabitants,inhabitants_density,area
Aa en Hunze,Drenthe,25445.0,92.0,"276,09"
Aalsmeer,Noord-Holland,31859.0,1584.0,"20,12"
Aalten,Gelderland,27121.0,281.0,"96,54"
Achtkarspelen,Friesland,27843.0,272.0,"102,23"
Alblasserdam,Zuid-Holland,20165.0,2297.0,"8,78"
Albrandswaard,Zuid-Holland,25590.0,1180.0,"21,69"
Alkmaar,Noord-Holland,109436.0,991.0,"110,46"
Almelo,Overijssel,73107.0,1087.0,"67,27"
Almere,Flevoland,211893.0,1640.0,"129,19"
Alphen aan den Rijn,Zuid-Holland,111897.0,886.0,"126,23"
Alphen-Chaam,Noord-Brabant,10203.0,110.0,"93,04"
Altena,Noord-Brabant,55967.0,279.0,"200,63"
Ameland,Friesland,3716.0,63.0,"59,11"
Amersfoort,Utrecht,157276.0,2512.0,"62,62"
Amstelveen,Noord-Holland,91675.0,2229.0,"41,13"
Amsterdam,Noord-Holland,872757.0,5273.0,"165,50"
Apeldoorn,Gelderland,163818.0,482.0,"339,89"
Arnhem,Gelderland,161348.0,1649.0,"97,82"
Assen,Drenthe,68599.0,838.0,"81,89"
Asten,Noord-Brabant,16721.0,238.0,"70,17"
Baarle-Nassau,Noord-Brabant,6859.0,90.0,"76,14"
Baarn,Utrecht,24868.0,764.0,"32,54"
Barendrecht,Zuid-Holland,48714.0,2467.0,"19,75"
Barneveld,Gelderland,59082.0,336.0,"175,90"
Beek,Limburg,15865.0,754.0,"21,03"
Beekdaelen,Limburg,35938.0,459.0,"78,30"
Beemster,Noord-Holland,10022.0,142.0,"70,58"
Beesel,Limburg,13482.0,482.0,"27,99"
Berg en Dal,Gelderland,34992.0,405.0,"86,31"
Bergeijk,Noord-Brabant,18635.0,184.0,"101,00"
Bergen,Limburg,13085.0,127.0,"103,24"
Bergen,Noord-Holland,29839.0,302.0,"98,96"
Bergen op Zoom,Noord-Brabant,67496.0,844.0,"79,96"
Berkelland,Gelderland,43747.0,170.0,"258,06"
Bernheze,Noord-Brabant,31240.0,348.0,"89,73"
Best,Noord-Brabant,29988.0,874.0,"34,30"
Beuningen,Gelderland,25890.0,593.0,"43,65"
Beverwijk,Noord-Holland,41626.0,2262.0,"18,40"
Bladel,Noord-Brabant,20390.0,271.0,"75,33"
Blaricum,Noord-Holland,11540.0,1038.0,"11,11"
Bloemendaal,Noord-Holland,23571.0,592.0,"39,79"
Bodegraven-Reeuwijk,Zuid-Holland,34872.0,463.0,"75,38"
Boekel,Noord-Brabant,10785.0,313.0,"34,51"
Bonaire,,,,
Borger-Odoorn,Drenthe,25559.0,93.0,"274,53"
Borne,Overijssel,23312.0,897.0,"26,00"
Borsele,Zeeland,22739.0,161.0,"141,57"
Boxmeer,Noord-Brabant,29365.0,263.0,"111,44"
Boxtel,Noord-Brabant,30801.0,483.0,"63,73"
Breda,Noord-Brabant,184069.0,1464.0,"125,74"
Brielle,Zuid-Holland,17271.0,627.0,"27,55"
Bronckhorst,Gelderland,36055.0,127.0,"283,50"
Brummen,Gelderland,20726.0,248.0,"83,65"
Brunssum,Limburg,27821.0,1613.0,"17,25"
Bunnik,Utrecht,15191.0,411.0,"36,97"
Bunschoten,Utrecht,21866.0,720.0,"30,38"
Buren,Gelderland,26749.0,200.0,"133,89"
Capelle aan den IJssel,Zuid-Holland,67122.0,4747.0,"14,14"
Castricum,Noord-Holland,35986.0,724.0,"49,68"
Coevorden,Drenthe,35297.0,119.0,"296,07"
Cranendonck,Noord-Brabant,21138.0,277.0,"76,40"
Cuijk,Noord-Brabant,25130.0,491.0,"51,16"
Culemborg,Gelderland,28955.0,989.0,"29,29"
Dalfsen,Overijssel,28587.0,173.0,"165,07"
Dantumadeel,Friesland,18922.0,224.0,"84,66"
De Bilt,Utrecht,43137.0,652.0,"66,12"
De Friese Meren,Friesland,51564.0,147.0,"351,29"
De Ronde Venen,Utrecht,44456.0,445.0,"99,92"
De Wolden,Drenthe,24330.0,108.0,"224,55"
Delft,Zuid-Holland,103595.0,4573.0,"22,65"
Den Helder,Noord-Holland,56296.0,1244.0,"45,25"
Deurne,Noord-Brabant,32471.0,278.0,"116,93"
Deventer,Overijssel,100719.0,771.0,"130,68"
Diemen,Noord-Holland,30780.0,2566.0,"11,99"
Dinkelland,Overijssel,26461.0,151.0,"175,71"
Doesburg,Gelderland,11077.0,961.0,"11,53"
Doetinchem,Gelderland,58001.0,734.0,"79,05"
Dongen,Noord-Brabant,26222.0,897.0,"29,24"
Dordrecht,Zuid-Holland,119284.0,1519.0,"78,54"
Drechterland,Noord-Holland,19719.0,335.0,"58,89"
Drimmelen,Noord-Brabant,27272.0,287.0,"95,18"
Dronten,Flevoland,41555.0,125.0,"333,57"
Druten,Gelderland,18926.0,503.0,"37,64"
Duiven,Gelderland,25126.0,741.0,"33,90"
Echt-Susteren,Limburg,31610.0,307.0,"103,07"
Edam-Volendam,Noord-Holland,36197.0,666.0,"54,33"
Ede,Gelderland,117165.0,368.0,"318,18"
Eemnes,Utrecht,9247.0,298.0,"31,04"
Eemsdelta,Groningen,45857.0,171.0,"267,89"
Eersel,Noord-Brabant,19313.0,234.0,"82,46"
Eijsden-Margraten,Limburg,25768.0,332.0,"77,55"
Eindhoven,Noord-Brabant,234394.0,2674.0,"87,66"
Elburg,Gelderland,23161.0,363.0,"63,82"
Emmen,Drenthe,107048.0,319.0,"335,18"
Enkhuizen,Noord-Holland,18591.0,1466.0,"12,68"
Enschede,Overijssel,159640.0,1134.0,"140,83"
Epe,Gelderland,33178.0,213.0,"156,07"
Ermelo,Gelderland,27008.0,315.0,"85,63"
Etten-Leur,Noord-Brabant,43878.0,793.0,"55,30"
Geertruidenberg,Noord-Brabant,21544.0,809.0,"26,63"
Geldrop-Mierlo,Noord-Brabant,39726.0,1281.0,"31,01"
Gemert-Bakel,Noord-Brabant,30723.0,252.0,"122,14"
Gennep,Limburg,16921.0,355.0,"47,62"
Gilze en Rijen,Noord-Brabant,26431.0,404.0,"65,38"
Goeree-Overflakkee,Zuid-Holland,50049.0,192.0,"260,48"
Goes,Zeeland,38082.0,411.0,"92,58"
Goirle,Noord-Brabant,23904.0,556.0,"42,99"
Gooise Meren,Noord-Holland,58055.0,1396.0,"41,59"
Gorinchem,Zuid-Holland,37022.0,1966.0,"18,83"
Gouda,Zuid-Holland,73427.0,4449.0,"16,50"
Grave,Noord-Brabant,12436.0,457.0,"27,18"
Groningen,Groningen,232874.0,1255.0,"185,60"
Gulpen-Wittem,Limburg,14171.0,194.0,"73,18"
Haaksbergen,Overijssel,24311.0,232.0,"104,82"
Haarlem,Noord-Holland,162902.0,5585.0,"29,17"
Haarlemmermeer,Noord-Holland,156002.0,790.0,"197,48"
Halderberge,Noord-Brabant,30284.0,407.0,"74,47"
Hardenberg,Overijssel,60948.0,195.0,"312,28"
Harderwijk,Gelderland,48414.0,1245.0,"38,89"
Hardinxveld-Giessendam,Zuid-Holland,18295.0,1082.0,"16,91"
Harlingen,Friesland,15722.0,630.0,"24,96"
Hattem,Gelderland,12209.0,529.0,"23,08"
Heemskerk,Noord-Holland,39182.0,1433.0,"27,34"
Heemstede,Noord-Holland,27234.0,2968.0,"9,18"
Heerde,Gelderland,18589.0,236.0,"78,74"
Heerenveen,Friesland,50493.0,266.0,"190,09"
Heerhugowaard,Noord-Holland,57587.0,1507.0,"38,21"
Heerlen,Limburg,87086.0,1938.0,"44,94"
Heeze-Leende,Noord-Brabant,16152.0,155.0,"104,02"
Heiloo,Noord-Holland,23968.0,1282.0,"18,70"
Hellendoorn,Overijssel,35916.0,260.0,"137,91"
Hellevoetsluis,Zuid-Holland,40142.0,977.0,"41,10"
Helmond,Noord-Brabant,92423.0,1738.0,"53,18"
Hendrik-Ido-Ambacht,Zuid-Holland,31202.0,2940.0,"10,61"
Hengelo,Overijssel,81140.0,1334.0,"60,84"
's-Hertogenbosch,Noord-Brabant,155111.0,1410.0,"109,99"
Het Hogeland,Groningen,47801.0,99.0,"482,75"
Heumen,Gelderland,16454.0,414.0,"39,76"
Heusden,Noord-Brabant,44692.0,567.0,"78,88"
Hillegom,Zuid-Holland,22209.0,1725.0,"12,87"
Hilvarenbeek,Noord-Brabant,15518.0,164.0,"94,85"
Hilversum,Noord-Holland,90831.0,1991.0,"45,61"
Hoeksche Waard,Zuid-Holland,87401.0,325.0,"268,93"
Hof van Twente,Overijssel,35017.0,165.0,"212,56"
Hollands Kroon,Noord-Holland,48432.0,136.0,"357,34"
Hoogeveen,Drenthe,55699.0,437.0,"127,54"
Hoorn,Noord-Holland,73261.0,3595.0,"20,38"
Horst aan de Maas,Limburg,42429.0,225.0,"188,73"
Houten,Utrecht,50146.0,913.0,"54,94"
Huizen,Noord-Holland,41273.0,2611.0,"15,81"
Hulst,Zeeland,27556.0,137.0,"201,71"
IJsselstein,Utrecht,34109.0,1619.0,"21,07"
Kaag en Braassem,Zuid-Holland,27297.0,432.0,"63,24"
Kampen,Overijssel,54319.0,382.0,"142,18"
Kapelle,Zeeland,12695.0,342.0,"37,13"
Katwijk,Zuid-Holland,65753.0,2657.0,"24,75"
Kerkrade,Limburg,45749.0,2088.0,"21,91"
Koggenland,Noord-Holland,22749.0,283.0,"80,32"
Krimpen aan den IJssel,Zuid-Holland,29526.0,3841.0,"7,69"
Krimpenerwaard,Zuid-Holland,56319.0,380.0,"148,40"
Laarbeek,Noord-Brabant,22523.0,407.0,"55,35"
Landerd,Noord-Brabant,15730.0,224.0,"70,35"
Landgraaf,Limburg,37445.0,1523.0,"24,58"
Landsmeer,Noord-Holland,11491.0,510.0,"22,53"
Langedijk,Noord-Holland,28163.0,1179.0,"23,88"
Lansingerland,Zuid-Holland,62384.0,1168.0,"53,42"
Laren,Noord-Holland,11280.0,909.0,"12,41"
Leeuwarden,Friesland,124084.0,521.0,"238,38"
Leiden,Zuid-Holland,125099.0,5710.0,"21,91"
Leiderdorp,Zuid-Holland,27056.0,2337.0,"11,58"
Leidschendam-Voorburg,Zuid-Holland,76534.0,2351.0,"32,55"
Lelystad,Flevoland,78598.0,341.0,"230,32"
Leudal,Limburg,35879.0,220.0,"162,73"
Leusden,Utrecht,30401.0,519.0,"58,54"
Lingewaard,Gelderland,46601.0,752.0,"62,00"
Lisse,Zuid-Holland,22955.0,1463.0,"15,69"
Lochem,Gelderland,33729.0,158.0,"213,03"
Loon op Zand,Noord-Brabant,23408.0,469.0,"49,94"
Lopik,Utrecht,14467.0,191.0,"75,57"
Losser,Overijssel,22683.0,230.0,"98,76"
Maasdriel,Gelderland,25030.0,379.0,"66,11"
Maasgouw,Limburg,23965.0,524.0,"45,71"
Maassluis,Zuid-Holland,33213.0,3918.0,"8,48"
Maastricht,Limburg,121575.0,2172.0,"55,99"
Medemblik,Noord-Holland,45101.0,371.0,"121,42"
Meerssen,Limburg,18828.0,698.0,"26,96"
Meierijstad,Noord-Brabant,81194.0,441.0,"184,09"
Meppel,Drenthe,33920.0,611.0,"55,53"
Middelburg,Zeeland,48822.0,1008.0,"48,42"
Midden-Delfland,Zuid-Holland,19341.0,410.0,"47,19"
Midden-Drenthe,Drenthe,33185.0,97.0,"340,51"
Midden-Groningen,Groningen,60797.0,217.0,"280,00"
Mill en Sint Hubert,Noord-Brabant,10939.0,209.0,"52,23"
Moerdijk,Noord-Brabant,37129.0,233.0,"159,15"
Molenlanden,Zuid-Holland,43909.0,242.0,"181,73"
Montferland,Gelderland,36011.0,341.0,"105,70"
Montfoort,Utrecht,13917.0,370.0,"37,57"
Mook en Middelaar,Limburg,7847.0,451.0,"17,38"
Neder-Betuwe,Gelderland,24339.0,406.0,"59,98"
Nederweert,Limburg,17019.0,170.0,"99,98"
Nieuwegein,Utrecht,63462.0,2700.0,"23,51"
Nieuwkoop,Zuid-Holland,28811.0,369.0,"78,05"
Nijkerk,Gelderland,43171.0,623.0,"69,34"
Nijmegen,Gelderland,177659.0,3346.0,"53,09"
Nissewaard,Zuid-Holland,85219.0,1158.0,"73,58"
Noardeast-Fryslân,Friesland,45228.0,120.0,"377,83"
Noord-Beveland,Zeeland,7392.0,86.0,"85,96"
Noordenveld,Drenthe,31253.0,157.0,"199,41"
Noordoostpolder,Flevoland,47291.0,103.0,"458,17"
Noordwijk,Zuid-Holland,43508.0,745.0,"58,37"
Nuenen c.a.,Noord-Brabant,23383.0,694.0,"33,71"
Nunspeet,Gelderland,27851.0,216.0,"128,74"
Oegstgeest,Zuid-Holland,24840.0,3399.0,"7,31"
Oirschot,Noord-Brabant,18714.0,184.0,"101,78"
Oisterwijk,Noord-Brabant,26245.0,411.0,"63,84"
Oldambt,Groningen,38209.0,169.0,"226,66"
Oldebroek,Gelderland,23646.0,242.0,"97,65"
Oldenzaal,Overijssel,31836.0,1477.0,"21,55"
Olst-Wijhe,Overijssel,18252.0,160.0,"113,84"
Ommen,Overijssel,18009.0,100.0,"179,90"
Oost Gelre,Gelderland,29627.0,270.0,"109,93"
Oosterhout,Noord-Brabant,55982.0,783.0,"71,47"
Ooststellingwerf,Friesland,25469.0,114.0,"223,42"
Oostzaan,Noord-Holland,9735.0,845.0,"11,53"
Opmeer,Noord-Holland,11836.0,285.0,"41,50"
Opsterland,Friesland,29733.0,132.0,"224,40"
Oss,Noord-Brabant,91915.0,563.0,"163,16"
Oude IJsselstreek,Gelderland,39388.0,289.0,"136,15"
Ouder-Amstel,Noord-Holland,14026.0,583.0,"24,08"
Oudewater,Utrecht,10230.0,263.0,"38,90"
Overbetuwe,Gelderland,47906.0,439.0,"109,19"
Papendrecht,Zuid-Holland,32136.0,3414.0,"9,41"
Peel en Maas,Limburg,43425.0,272.0,"159,37"
Pekela,Groningen,12196.0,249.0,"49,04"
Pijnacker-Nootdorp,Zuid-Holland,55308.0,1491.0,"37,08"
Purmerend,Noord-Holland,81249.0,3509.0,"23,15"
Putten,Gelderland,24112.0,283.0,"85,22"
Raalte,Overijssel,37712.0,221.0,"170,99"
Reimerswaal,Zeeland,22730.0,223.0,"101,80"
Renkum,Gelderland,31419.0,684.0,"45,95"
Renswoude,Utrecht,5444.0,296.0,"18,40"
Reusel-De Mierden,Noord-Brabant,13112.0,168.0,"77,88"
Rheden,Gelderland,43761.0,535.0,"81,74"
Rhenen,Utrecht,20119.0,478.0,"42,08"
Ridderkerk,Zuid-Holland,46189.0,1948.0,"23,72"
Rijssen-Holten,Overijssel,38177.0,406.0,"94,13"
Rijswijk,Zuid-Holland,54450.0,3901.0,"13,96"
Roerdalen,Limburg,20574.0,233.0,"88,21"
Roermond,Limburg,58260.0,958.0,"60,81"
Roosendaal,Noord-Brabant,77251.0,725.0,"106,50"
Rotterdam,Zuid-Holland,651157.0,2993.0,"217,55"
Rozendaal,Gelderland,1704.0,61.0,"27,90"
Rucphen,Noord-Brabant,22878.0,355.0,"64,41"
Saba,,,,
Schagen,Noord-Holland,46483.0,276.0,"168,25"
Scherpenzeel,Gelderland,9880.0,717.0,"13,79"
Schiedam,Zuid-Holland,78730.0,4417.0,"17,82"
Schiermonnikoog,Friesland,947.0,23.0,"40,50"
Schouwen-Duiveland,Zeeland,33839.0,147.0,"229,65"
Simpelveld,Limburg,10555.0,658.0,"16,03"
Sint Eustatius,,,,
Sint Anthonis,Noord-Brabant,11664.0,117.0,"99,27"
Sint-Michielsgestel,Noord-Brabant,29208.0,500.0,"58,38"
Sittard-Geleen,Limburg,92429.0,1170.0,"79,01"
Sliedrecht,Zuid-Holland,25220.0,1965.0,"12,84"
Sluis,Zeeland,23210.0,83.0,"279,36"
Smallingerland,Friesland,56150.0,479.0,"117,31"
Soest,Utrecht,46606.0,1008.0,"46,24"
Someren,Noord-Brabant,19368.0,241.0,"80,27"
Son en Breugel,Noord-Brabant,17322.0,667.0,"25,95"
Stadskanaal,Groningen,31686.0,269.0,"117,64"
Staphorst,Overijssel,17145.0,128.0,"133,99"
Stede Broec,Noord-Holland,21726.0,1498.0,"14,50"
Steenbergen,Noord-Brabant,24416.0,167.0,"146,43"
Steenwijkerland,Overijssel,44126.0,153.0,"288,27"
Stein,Limburg,25007.0,1186.0,"21,08"
Stichtse Vecht,Utrecht,64931.0,676.0,"96,10"
Súdwest-Fryslân,Friesland,89987.0,172.0,"523,01"
Terneuzen,Zeeland,54426.0,217.0,"250,38"
Terschelling,Friesland,4888.0,57.0,"85,26"
Texel,Noord-Holland,13575.0,84.0,"162,00"
Teylingen,Zuid-Holland,37440.0,1319.0,"28,38"
Den Haag ('s-Gravenhage),Zuid-Holland,545838.0,6620.0,"82,45"
Tholen,Zeeland,25757.0,176.0,"146,71"
Tiel,Gelderland,42159.0,1282.0,"32,88"
Tilburg,Noord-Brabant,219789.0,1892.0,"116,17"
Tubbergen,Overijssel,21275.0,145.0,"147,00"
Twenterand,Overijssel,33743.0,318.0,"106,17"
Tynaarlo,Drenthe,33887.0,237.0,"143,00"
Tietjerksteradeel,Friesland,32052.0,215.0,"148,86"
Uden,Noord-Brabant,42119.0,629.0,"67,00"
Uitgeest,Noord-Holland,13666.0,713.0,"19,16"
Uithoorn,Noord-Holland,29478.0,1625.0,"18,14"
Urk,Flevoland,21031.0,1599.0,"13,15"
Utrecht,Utrecht,357597.0,3811.0,"93,83"
Utrechtse Heuvelrug,Utrecht,49580.0,376.0,"132,01"
Vaals,Limburg,10105.0,423.0,"23,89"
Valkenburg aan de Geul,Limburg,16367.0,446.0,"36,73"
Valkenswaard,Noord-Brabant,31193.0,568.0,"54,92"
Veendam,Groningen,27384.0,360.0,"76,00"
Veenendaal,Utrecht,66493.0,3417.0,"19,46"
Veere,Zeeland,21880.0,165.0,"132,56"
Veldhoven,Noord-Brabant,45466.0,1435.0,"31,69"
Velsen,Noord-Holland,68648.0,1519.0,"45,20"
Venlo,Limburg,101802.0,819.0,"124,25"
Venray,Limburg,43614.0,267.0,"163,27"
Vijfheerenlanden,Utrecht,56811.0,388.0,"146,41"
Vlaardingen,Zuid-Holland,73397.0,3114.0,"23,57"
Vlieland,Friesland,1155.0,30.0,"39,15"
Vlissingen,Zeeland,44360.0,1293.0,"34,31"
Voerendaal,Limburg,12475.0,396.0,"31,51"
Voorschoten,Zuid-Holland,25596.0,2297.0,"11,14"
Voorst,Gelderland,24552.0,200.0,"122,97"
Vught,Noord-Brabant,26558.0,787.0,"33,75"
Waadhoeke,Friesland,46090.0,162.0,"284,86"
Waalre,Noord-Brabant,17456.0,780.0,"22,39"
Waalwijk,Noord-Brabant,48637.0,753.0,"64,58"
Waddinxveen,Zuid-Holland,29291.0,1055.0,"27,77"
Wageningen,Gelderland,39664.0,1304.0,"30,42"
Wassenaar,Zuid-Holland,26305.0,515.0,"51,11"
Waterland,Noord-Holland,17424.0,334.0,"52,11"
Weert,Limburg,50105.0,480.0,"104,32"
Weesp,Noord-Holland,19738.0,866.0,"22,79"
West Betuwe,Gelderland,51128.0,237.0,"216,12"
West Maas en Waal,Gelderland,19324.0,252.0,"76,76"
Westerkwartier,Groningen,63329.0,175.0,"362,69"
Westerveld,Drenthe,19460.0,70.0,"278,35"
Westervoort,Gelderland,14971.0,2130.0,"7,03"
Westerwolde,Groningen,25733.0,93.0,"275,67"
Westland,Zuid-Holland,110375.0,1358.0,"81,27"
Weststellingwerf,Friesland,25914.0,118.0,"220,30"
Westvoorne,Zuid-Holland,14731.0,277.0,"53,18"
Wierden,Overijssel,24446.0,258.0,"94,63"
Wijchen,Gelderland,41110.0,621.0,"66,18"
Wijdemeren,Noord-Holland,24358.0,512.0,"47,60"
Wijk bij Duurstede,Utrecht,23914.0,502.0,"47,62"
Winterswijk,Gelderland,28854.0,209.0,"138,14"
Woensdrecht,Noord-Brabant,21876.0,239.0,"91,66"
Woerden,Utrecht,52299.0,590.0,"88,57"
Wormerland,Noord-Holland,16270.0,422.0,"38,59"
Woudenberg,Utrecht,13362.0,366.0,"36,53"
Zaanstad,Noord-Holland,156794.0,2123.0,"73,87"
Zaltbommel,Gelderland,28881.0,364.0,"79,38"
Zandvoort,Noord-Holland,17116.0,533.0,"32,12"
Zeewolde,Flevoland,22653.0,92.0,"247,23"
Zeist,Utrecht,64905.0,1338.0,"48,51"
Zevenaar,Gelderland,43750.0,472.0,"92,60"
Zoetermeer,Zuid-Holland,125285.0,3637.0,"34,45"
Zoeterwoude,Zuid-Holland,8605.0,406.0,"21,19"
Zuidplas,Zuid-Holland,43885.0,756.0,"58,02"
Zundert,Noord-Brabant,21829.0,181.0,"120,65"
Zutphen,Gelderland,47934.0,1170.0,"40,95"
Zwartewaterland,Overijssel,22685.0,275.0,"82,49"
Zwijndrecht,Zuid-Holland,44737.0,2204.0,"20,30"
Zwolle,Overijssel,128840.0,1160.0,"111,10"
