Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
873,Destiny,X360,2014,Shooter,Activision,1.30,0.49,0.00,0.16,1.95
893,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.89,0.10,0.37,1.93
969,Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,0.49,0.96,0.07,0.27,1.79
1001,Call of Duty: Black Ops 3,X360,2015,Shooter,Activision,1.11,0.48,0.00,0.16,1.76
1026,Destiny,PS3,2014,Shooter,Activision,0.67,0.66,0.12,0.27,1.73
1065,FIFA 16,X360,2015,Sports,Electronic Arts,0.55,1.01,0.00,0.13,1.69
1132,NBA 2K15,X360,2014,Sports,Take-Two Interactive,1.33,0.14,0.00,0.15,1.63
1339,Far Cry 4,PS3,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23,1.44
1373,Madden NFL 15,PS3,2014,Sports,Electronic Arts,1.07,0.15,0.00,0.19,1.41
1405,Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.38,0.02,0.11,1.38
1415,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37
1424,NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.86,0.27,0.02,0.22,1.36
1490,The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.00,0.11,1.32
1487,Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.40,0.36,0.40,0.17,1.32
1489,Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.43,0.18,0.19,1.32
1541,Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
1619,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.02,0.00,0.13,1.23
1632,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.50,0.63,0.00,0.10,1.23
1762,Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.54,0.00,0.10,1.16
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.62,0.40,0.00,0.10,1.12
1898,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.36,0.64,0.00,0.08,1.08
1966,Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.38,0.00,0.09,1.05
2040,Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,Disney Interactive Studios,0.44,0.40,0.00,0.17,1.02
2053,The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01
2118,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0.00,0.17,0.98
2121,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.00,0.08,0.98
2125,Madden NFL 16,X360,2015,Sports,Electronic Arts,0.82,0.05,0.00,0.10,0.98
2141,NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.77,0.10,0.00,0.10,0.97
2173,LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.40,0.00,0.08,0.95
2194,Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.38,0.00,0.08,0.95
2179,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.57,0.30,0.00,0.08,0.95
2231,LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.00,0.15,0.93
2240,Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.31,0.00,0.08,0.93
2267,The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92
2287,Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.46,0.38,0.00,0.08,0.91
2317,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.48,0.00,0.09,0.90
2445,WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.35,0.00,0.14,0.85
2429,Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.43,0.00,0.07,0.85
2525,Madden NFL 16,PS3,2015,Sports,Electronic Arts,0.56,0.11,0.00,0.15,0.82
2551,Lego Batman 3: Beyond Gotham,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0.00,0.13,0.81
2579,NBA 2K16,PS3,2015,Sports,Take-Two Interactive,0.44,0.19,0.03,0.13,0.80
2690,Plants vs. Zombies: Garden Warfare,PS3,2014,Shooter,Electronic Arts,0.22,0.40,0.01,0.14,0.76
2722,Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.20,0.01,0.06,0.76
2759,Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75
2760,LittleBigPlanet 3,PS3,2014,Platform,Sony Computer Entertainment,0.20,0.43,0.01,0.11,0.75
2810,Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.32,0.34,0.00,0.07,0.73
2903,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71
2935,Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.70
2955,Skylanders: Trap Team,PS3,2014,Action,Activision,0.24,0.33,0.00,0.12,0.69
2943,WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.38,0.26,0.00,0.06,0.69
2952,Minecraft: Story Mode,PS3,2015,Adventure,Mojang,0.25,0.33,0.00,0.11,0.69
3028,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.20,0.42,0.00,0.05,0.67
3049,Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67
3130,Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.26,0.23,0.05,0.10,0.65
3183,Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.20,0.33,0.01,0.10,0.64
3189,Just Dance 2015,X360,2014,Misc,Ubisoft,0.41,0.16,0.00,0.06,0.63
3249,Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0.00,0.05,0.62
3267,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62
3253,Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.10,0.23,0.22,0.08,0.62
3421,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
3459,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.30,0.00,0.07,0.58
3485,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.21,0.27,0.00,0.09,0.58
3560,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.28,0.00,0.05,0.56
3658,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.17,0.33,0.00,0.05,0.55
3630,Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games,0.15,0.20,0.14,0.07,0.55
3633,Dragon Age: Inquisition,X360,2014,Role-Playing,Electronic Arts,0.35,0.16,0.00,0.05,0.55
3757,Star Wars Battlefront (2015),PC,2015,Shooter,Electronic Arts,0.13,0.37,0.00,0.04,0.54
3689,LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.32,0.00,0.10,0.54
3709,LEGO Dimensions,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.15,0.30,0.00,0.09,0.54
3731,Middle-Earth: Shadow of Mordor,X360,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.21,0.00,0.05,0.54
3945,Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51
3890,StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,0.18,0.29,0.00,0.04,0.51
3972,LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.20,0.26,0.00,0.04,0.50
4014,The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.20,0.01,0.04,0.50
3971,WWE 2K16,X360,2015,Sports,Take-Two Interactive,0.27,0.19,0.00,0.04,0.50
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix,0.00,0.00,0.49,0.00,0.49
4067,F1 2014,PS3,2014,Racing,Codemasters,0.07,0.31,0.02,0.08,0.49
4079,Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.12,0.23,0.07,0.07,0.49
4124,Football Manager 2015,PC,2014,Simulation,Sega,0.00,0.43,0.00,0.05,0.48
4109,World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,0.08,0.36,0.00,0.04,0.48
4137,Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.19,0.01,0.04,0.48
4186,Disney Infinity 3.0,PS3,2015,Action,Disney Interactive Studios,0.14,0.25,0.00,0.08,0.47
4165,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,Namco Bandai Games,0.15,0.16,0.09,0.08,0.47
4170,2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.14,0.28,0.00,0.04,0.47
4212,NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.07,0.00,0.04,0.47
4246,Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.12,0.29,0.00,0.05,0.46
4285,Skylanders: SuperChargers,X360,2015,Action,Activision,0.24,0.18,0.00,0.04,0.46
4275,Farming Simulator 2015,PS3,2015,Simulation,Koch Media,0.11,0.28,0.00,0.07,0.46
4335,Watch Dogs,PC,2014,Action,Ubisoft,0.14,0.26,0.00,0.05,0.45
4354,Pro Evolution Soccer 2016,PS3,2015,Sports,Konami Digital Entertainment,0.08,0.18,0.15,0.05,0.45
4419,Disney Infinity 3.0,X360,2015,Action,Disney Interactive Studios,0.19,0.21,0.00,0.04,0.44
4511,Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0.00,0.04,0.43
4742,Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.14,0.23,0.00,0.04,0.41
4700,Destiny: The Taken King,PS3,2015,Shooter,Activision,0.16,0.17,0.02,0.06,0.41
4704,Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks,0.18,0.19,0.00,0.04,0.41
4706,Farming Simulator 2015,X360,2015,Simulation,Koch Media,0.21,0.16,0.00,0.04,0.41
4802,Thief (2014),PS3,2014,Action,Square Enix,0.10,0.20,0.02,0.08,0.40
4874,Rise of the Tomb Raider,X360,2015,Adventure,Square Enix,0.17,0.19,0.00,0.03,0.40
4886,Skylanders: SuperChargers,PS3,2015,Action,Activision,0.15,0.18,0.00,0.06,0.39
4930,MLB 15: The Show,PS3,2015,Sports,Sony Computer Entertainment,0.30,0.01,0.00,0.07,0.39
4961,MLB 14: The Show,PS3,2014,Sports,Sony Computer Entertainment America,0.35,0.00,0.00,0.04,0.39
5015,NHL 15,PS3,2014,Sports,Electronic Arts,0.21,0.11,0.00,0.06,0.38
5058,FIFA 17,PS3,2016,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38
5071,Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,Namco Bandai Games,0.00,0.00,0.38,0.00,0.38
5004,Destiny: The Taken King,X360,2015,Shooter,Activision,0.22,0.12,0.00,0.03,0.38
5106,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.20,0.14,0.00,0.03,0.37
5089,Alien: Isolation,PS3,2014,Shooter,Sega,0.12,0.19,0.00,0.07,0.37
5152,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0.00,0.03,0.37
5217,Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.20,0.00,0.04,0.36
5228,Just Dance 2016,X360,2015,Misc,Ubisoft,0.23,0.10,0.00,0.03,0.36
5385,LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment,0.17,0.15,0.00,0.03,0.34
5437,Battlefield: Hardline,X360,2015,Shooter,Electronic Arts,0.17,0.14,0.00,0.03,0.34
5504,Dragon Ball Z: Battle of Z,PS3,2014,Fighting,Namco Bandai Games,0.10,0.11,0.06,0.05,0.33
5587,Resident Evil: Revelations 2,PS3,2015,Action,Capcom,0.06,0.08,0.16,0.03,0.32
5698,LEGO Marvel's Avengers,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.10,0.17,0.00,0.05,0.32
5579,J Stars Victory Vs.,PS3,2014,Fighting,Namco Bandai Games,0.04,0.06,0.20,0.02,0.32
5618,Sniper Elite 3,X360,2014,Shooter,505 Games,0.16,0.14,0.00,0.03,0.32
5761,Football Manager 2016,PC,2015,Simulation,Sega,0.00,0.29,0.00,0.02,0.31
5715,Sniper Elite 3,PS3,2014,Shooter,505 Games,0.10,0.15,0.00,0.06,0.31
5913,FIFA 15,PC,2014,Sports,Electronic Arts,0.00,0.27,0.00,0.03,0.30
5828,One Piece: Unlimited World Red,PS3,2014,Action,Namco Bandai Games,0.09,0.12,0.06,0.05,0.30
5955,Thief (2014),X360,2014,Action,Square Enix,0.14,0.13,0.00,0.03,0.30
5829,Alien: Isolation,X360,2014,Shooter,Sega,0.15,0.13,0.00,0.03,0.30
6073,Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.11,0.15,0.00,0.03,0.29
6089,World of Warcraft: Legion,PC,2016,Role-Playing,Activision,0.14,0.12,0.00,0.02,0.29
5978,The Amazing Spider-Man 2 (2014),PS3,2014,Action,Activision,0.06,0.16,0.02,0.05,0.29
6051,One Piece: Pirate Warriors 3,PS3,2015,Action,Namco Bandai Games,0.00,0.09,0.19,0.01,0.29
6177,Guitar Hero Live,PS3,2015,Misc,Activision,0.09,0.14,0.00,0.05,0.28
6201,Just Dance 2015,PS3,2014,Misc,Ubisoft,0.12,0.11,0.00,0.05,0.28
6300,The Evil Within,PC,2014,Action,Bethesda Softworks,0.09,0.16,0.00,0.02,0.27
6331,Sengoku Basara 4,PS3,2014,Action,Capcom,0.00,0.00,0.27,0.00,0.27
6375,Dragon Ball: XenoVerse,X360,2015,Fighting,Namco Bandai Games,0.16,0.08,0.00,0.02,0.27
6413,Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,Adventure,Activision,0.11,0.11,0.00,0.05,0.27
6533,Yakuza: Ishin,PS3,2014,Action,Sega,0.00,0.00,0.26,0.00,0.26
6554,Samurai Warriors 4,PS3,2014,Action,Tecmo Koei,0.00,0.00,0.26,0.00,0.26
6538,The Amazing Spider-Man 2 (2014),X360,2014,Action,Activision,0.10,0.14,0.00,0.02,0.26
6447,The Crew,X360,2014,Racing,Ubisoft,0.06,0.18,0.00,0.02,0.26
6555,F1 2014,X360,2014,Racing,Codemasters,0.08,0.15,0.00,0.02,0.26
6726,Yakuza Zero: The Place of Oath,PS3,2015,Action,Sega,0.00,0.00,0.25,0.00,0.25
6632,Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,Sega,0.09,0.04,0.10,0.03,0.25
6745,Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0.00,0.01,0.25
6922,Guitar Hero Live,X360,2015,Misc,Activision,0.12,0.10,0.00,0.02,0.24
7052,Call of Duty: Black Ops 3,PC,2015,Shooter,Activision,0.00,0.22,0.00,0.01,0.23
7132,3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games,0.00,0.00,0.23,0.00,0.23
7042,Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,0.13,0.08,0.00,0.02,0.23
6989,Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0.00,0.02,0.23
7213,Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,0.12,0.08,0.00,0.02,0.22
7204,Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.03,0.13,0.02,0.04,0.22
7260,Just Dance 2016,PS3,2015,Misc,Ubisoft,0.10,0.08,0.00,0.04,0.22
7218,The Walking Dead: Season Two,PS3,2014,Adventure,Telltale Games,0.09,0.09,0.00,0.04,0.22
7224,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Adventure,Activision,0.11,0.09,0.00,0.02,0.22
7376,Metal Gear Solid V: The Phantom Pain,X360,2015,Action,Konami Digital Entertainment,0.12,0.08,0.00,0.02,0.21
7370,GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.11,0.01,0.04,0.21
7684,South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.10,0.00,0.02,0.20
7563,Assassin's Creed Syndicate,PC,2015,Action,Ubisoft,0.10,0.08,0.00,0.02,0.20
7540,Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.05,0.08,0.02,0.20
7566,XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.09,0.10,0.00,0.02,0.20
7660,How to Train Your Dragon 2,X360,2014,Adventure,Little Orbit,0.05,0.13,0.00,0.02,0.20
7770,The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,0.05,0.13,0.00,0.01,0.19
8029,Evolve,PC,2015,Shooter,Take-Two Interactive,0.07,0.10,0.00,0.01,0.18
8119,Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.00,0.02,0.18
8136,FIFA 16,PC,2015,Sports,Electronic Arts,0.04,0.13,0.00,0.01,0.18
8140,Doom (2016),PC,2016,Shooter,Bethesda Softworks,0.06,0.10,0.00,0.01,0.18
8077,Dying Light,PC,2015,Action,Warner Bros. Interactive Entertainment,0.11,0.06,0.00,0.02,0.18
8083,Guilty Gear Xrd: Sign,PS3,2014,Fighting,Arc System Works,0.09,0.00,0.07,0.02,0.18
8192,FIFA 17,X360,2016,Sports,Electronic Arts,0.03,0.13,0.00,0.01,0.18
8445,Wildstar,PC,2014,Role-Playing,NCSoft,0.08,0.07,0.00,0.02,0.17
8330,Transformer: Rise of the Dark Spark,X360,2014,Action,Activision,0.09,0.07,0.00,0.02,0.17
8449,Jikkyou Powerful Pro Yakyuu 2014,PS3,2014,Sports,Konami Digital Entertainment,0.00,0.00,0.17,0.00,0.17
8433,NASCAR '15,X360,2015,Sports,Deep Silver,0.15,0.00,0.00,0.02,0.17
8600,The Crew,PC,2014,Racing,Ubisoft,0.00,0.15,0.00,0.01,0.16
8468,MLB 16: The Show,PS3,2016,Action,Sony Computer Entertainment,0.13,0.00,0.00,0.03,0.16
8475,Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0.05,0.04,0.06,0.02,0.16
8634,Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0.00,0.09,0.01,0.16
8529,Pro Evolution Soccer 2015,X360,2014,Sports,Konami Digital Entertainment,0.05,0.10,0.00,0.01,0.16
8537,NASCAR '14,X360,2014,Racing,Deep Silver,0.15,0.00,0.00,0.01,0.16
8962,Alien: Isolation,PC,2014,Shooter,Sega,0.00,0.13,0.00,0.01,0.15
8767,Murdered: Soul Suspect,PS3,2014,Action,Square Enix,0.05,0.06,0.02,0.02,0.15
8848,3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,Namco Bandai Games,0.00,0.00,0.15,0.00,0.15
8895,Pro Baseball Spirits 2015,PS3,2015,Action,Konami Digital Entertainment,0.00,0.00,0.15,0.00,0.15
8755,Metal Gear Solid V: Ground Zeroes,X360,2014,Action,Konami Digital Entertainment,0.07,0.06,0.01,0.01,0.15
9232,Cities: Skylines,PC,2015,Simulation,Paradox Interactive,0.00,0.13,0.00,0.01,0.14
9306,Battlefield: Hardline,PC,2015,Shooter,Electronic Arts,0.00,0.13,0.00,0.01,0.14
9138,Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0.00,0.01,0.14
9252,Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.09,0.00,0.01,0.14
9088,Gundam Breaker 2,PS3,2014,Action,Namco Bandai Games,0.00,0.00,0.14,0.00,0.14
9193,Pro Yaky? Spirits 2014,PS3,2014,Sports,Konami Digital Entertainment,0.00,0.00,0.14,0.00,0.14
9227,Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0.00,0.01,0.13,0.00,0.14
9266,Singstar: Ultimate Party,PS3,2014,Misc,Sony Computer Entertainment Europe,0.00,0.12,0.00,0.02,0.14
9294,Shining Resonance,PS3,2014,Role-Playing,Sega,0.00,0.00,0.14,0.00,0.14
9571,Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.08,0.03,0.00,0.01,0.13
9540,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,Square Enix,0.00,0.00,0.13,0.00,0.13
9640,Transformer: Rise of the Dark Spark,PS3,2014,Action,Activision,0.04,0.05,0.01,0.02,0.13
9395,Rugby 15,PS3,2015,Sports,Bigben Interactive,0.02,0.09,0.00,0.02,0.13
9459,The IdolM@ster: One for All,PS3,2014,Misc,Namco Bandai Games,0.00,0.00,0.13,0.00,0.13
9475,Under Night In-Birth,PS3,2014,Fighting,Nippon Ichi Software,0.06,0.02,0.04,0.02,0.13
9450,How to Train Your Dragon 2,PS3,2014,Adventure,Little Orbit,0.03,0.08,0.00,0.02,0.13
9570,Pro Evolution Soccer 2016,X360,2015,Sports,Konami Digital Entertainment,0.04,0.08,0.00,0.01,0.13
9904,Tropico 5,PC,2014,Simulation,Kalypso Media,0.02,0.08,0.00,0.01,0.12
9682,Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0.00,0.02,0.12
9770,Mobile Suit Gundam Side Story: Missing Link,PS3,2014,Action,Namco Bandai Games,0.00,0.00,0.12,0.00,0.12
9926,Deception IV: Blood Ties,PS3,2014,Action,Tecmo Koei,0.02,0.02,0.06,0.01,0.12
9748,MotoGP 14,PS3,2014,Racing,Milestone S.r.l.,0.04,0.06,0.00,0.02,0.12
9756,WRC 5: FIA World Rally Championship,PS3,2015,Sports,Bigben Interactive,0.02,0.09,0.00,0.02,0.12
9799,The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.01,0.00,0.11,0.00,0.12
9869,Sacred 3,PS3,2014,Role-Playing,Deep Silver,0.03,0.05,0.02,0.02,0.12
9906,Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix,0.00,0.00,0.12,0.00,0.12
9924,Yakuza Kiwami,PS3,2016,Adventure,Sega,0.00,0.00,0.12,0.00,0.12
9892,The Walking Dead: Season Two,X360,2014,Adventure,Telltale Games,0.04,0.07,0.00,0.01,0.12
10167,Project CARS,PC,2015,Racing,Slightly Mad Studios,0.00,0.10,0.00,0.01,0.11
10226,Thief (2014),PC,2014,Action,Square Enix,0.00,0.09,0.00,0.02,0.11
10121,Samurai Warriors 4-II,PS3,2015,Action,Tecmo Koei,0.00,0.00,0.11,0.00,0.11
10238,Transformers: Devastation,PS3,2015,Action,Activision,0.03,0.07,0.00,0.02,0.11
10308,Murdered: Soul Suspect,X360,2014,Action,Square Enix,0.06,0.04,0.00,0.01,0.11
10365,Lego Star Wars: The Force Awakens,X360,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.00,0.01,0.11
10042,UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment,0.00,0.08,0.02,0.01,0.11
10158,Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,Konami Digital Entertainment,0.00,0.00,0.11,0.00,0.11
10233,Tales of Berseria,PS3,2016,Role-Playing,Namco Bandai Games,0.00,0.00,0.11,0.00,0.11
10228,Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,0.05,0.04,0.00,0.02,0.11
10125,Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.05,0.00,0.01,0.11
10697,F1 2014,PC,2014,Racing,Codemasters,0.00,0.09,0.00,0.01,0.10
10758,Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.02,0.06,0.00,0.01,0.10
10435,Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.07,0.00,0.02,0.10
10436,Kamen Rider: Battride War II,PS3,2014,Action,Namco Bandai Games,0.00,0.00,0.10,0.00,0.10
10562,Yaiba: Ninja Gaiden Z,PS3,2014,Action,Tecmo Koei,0.05,0.04,0.00,0.02,0.10
10491,Castlevania: Lords of Shadow 2,X360,2014,Action,Konami Digital Entertainment,0.02,0.07,0.00,0.01,0.10
10501,Risen 3: Titan Lords,PS3,2014,Role-Playing,Deep Silver,0.02,0.06,0.00,0.02,0.10
