la;Borough name;Smoking Status (2010): current cigarette smoker;Smoking Status (2010): ex-smoker;Smoking Status (2010): never smoked;Smoking Status (2010): Total;Smoking Status (2011): current cigarette smoker;Smoking Status (2011): ex-smoker;Smoking Status (2011): never smoked;Smoking Status (2011): Total;Smoking Status (2012): current cigarette smoker;Smoking Status (2012): ex-smoker;Smoking Status (2012): never smoked;Smoking Status (2012): Total;Smoking Status (2013): current cigarette smoker;Smoking Status (2013): ex-smoker;Smoking Status (2013): never smoked;Smoking Status (2013): Total;Rate of deaths due to smoking: 2007-09;Rate of deaths due to smoking: 2008-10;Rate of deaths due to smoking: 2009-11;Rate of deaths due to smoking: 2010-12;Rate of deaths due to smoking: 2011-13;Quit rate per 100000 population aged 16+: 2008-09 Q1;Quit rate per 100000 population aged 16+: 2008-09 Q2;Quit rate per 100000 population aged 16+: 2008-09 Q3;Quit rate per 100000 population aged 16+: 2008-09 Q4;Quit rate per 100000 population aged 16+: 2009-10 Q1;Quit rate per 100000 population aged 16+: 2009-10 Q2;Quit rate per 100000 population aged 16+: 2009-10 Q3;Quit rate per 100000 population aged 16+: 2009-10 Q4;Quit rate per 100000 population aged 16+: 2010-11 Q1;Quit rate per 100000 population aged 16+: 2010-11 Q2;Quit rate per 100000 population aged 16+: 2010-11 Q3;Quit rate per 100000 population aged 16+: 2010-11 Q4;Quit rate per 100000 population aged 16+: 2011-12 Q1;Quit rate per 100000 population aged 16+: 2011-12 Q2;Quit rate per 100000 population aged 16+: 2011-12 Q3;Quit rate per 100000 population aged 16+: 2011-12 Q4;Quit rate per 100000 population aged 16+: 2012-13 Q1;Quit rate per 100000 population aged 16+: 2012-13 Q2;Quit rate per 100000 population aged 16+: 2012-13 Q3;Quit rate per 100000 population aged 16+: 2012-13 Q4;Quit rate per 100000 population aged 16+: 2013-14 Q1;Quit rate per 100000 population aged 16+: 2013-14 Q2;Quit rate per 100000 population aged 16+: 2013-14 Q3
E09000002;Barking and Dagenham;28,722;31,666;67,056;127,444;30,415;30,865;71,712;132,992;29,862;31,407;74,980;136,249;31,896;31,520;74,626;138,042;433;421;404;386;384;145;340;496;1,022;123;324;506;1,055;251;431;681;1,115;245;431;675;1,115;246;437;700;1,069;271;529;696
E09000003;Barnet;49,414;76,507;153,960;279,881;47,701;79,597;135,442;262,740;36,453;63,214;163,196;262,863;42,865;81,024;161,164;285,053;218;215;210;204;205;258;451;649;851;212;390;569;823;213;383;541;744;203;376;560;826;226;384;552;750;108;163;234
E09000004;Bexley;30,654;61,118;87,180;178,952;33,052;57,570;85,413;176,035;31,643;58,803;88,704;179,150;33,116;64,638;83,907;181,661;311;297;295;286;282;194;375;583;933;247;469;681;988;191;400;596;892;204;403;617;902;192;350;525;789;142;313;464
E09000005;Brent;40,827;45,780;111,547;198,154;37,787;34,058;123,922;195,767;30,615;45,820;124,802;201,238;33,370;42,019;122,485;197,874;237;235;223;228;229;47;106;160;335;88;215;310;579;212;483;783;1,223;297;581;880;1,310;295;499;714;954;170;320;436
E09000006;Bromley;40,359;87,694;109,145;237,198;42,856;91,176;110,257;244,289;45,427;89,652;119,551;254,630;39,824;88,122;121,174;249,120;274;262;257;250;250;114;230;340;531;147;266;420;658;136;249;398;542;135;250;352;561;137;338;560;770;86;183;270
E09000007;Camden;38,169;67,276;85,769;191,214;33,192;67,932;96,321;197,445;34,445;60,769;97,558;192,771;38,991;59,581;101,152;199,724;305;292;278;276;269;332;607;701;1,005;163;338;516;608;78;144;307;510;136;269;402;628;109;240;394;612;177;350;499
E09000008;Croydon;52,050;79,044;134,504;265,598;51,035;77,880;130,615;259,530;46,105;71,725;152,030;269,860;45,927;81,425;143,287;270,639;281;277;264;270;258;57;113;161;242;82;222;356;593;183;321;443;804;194;362;510;796;181;331;477;793;211;376;565
E09000009;Ealing;44,778;62,605;138,753;246,136;52,156;68,188;126,111;246,455;49,954;57,823;147,317;255,094;35,906;61,704;144,521;242,131;278;271;264;255;248;75;162;503;462;97;205;321;491;141;316;476;676;162;369;541;777;203;395;573;764;165;341;503
E09000010;Enfield;42,603;57,726;118,740;219,069;42,971;63,325;118,113;224,409;40,057;57,936;124,826;222,819;35,152;66,450;121,304;222,906;278;275;257;250;256;97;206;331;686;105;246;361;661;117;300;477;687;103;216;417;665;122;257;409;650;89;234;444
E09000011;Greenwich;41,703;50,832;80,274;172,809;33,549;54,693;86,762;175,004;32,448;59,477;84,419;176,343;29,216;54,219;92,509;175,944;408;393;371;357;347;178;353;484;836;234;420;608;903;240;454;639;1,016;243;438;649;1,037;260;404;618;941;245;427;651
E09000012;Hackney;43,206;51,861;84,084;179,151;50,290;47,763;75,385;173,438;38,522;52,016;80,259;170,797;35,788;46,886;89,679;172,353;369;359;355;364;351;99;212;413;731;231;418;629;1,385;223;411;696;1,228;230;476;714;1,230;212;406;629;1,092;139;277;432
E09000013;Hammersmith and Fulham;32,129;48,608;56,570;137,307;26,079;45,961;62,239;134,279;32,363;46,965;56,583;135,911;29,671;40,611;68,137;138,419;369;357;346;342;350;93;208;367;806;245;461;687;1,224;188;536;859;1,237;263;528;835;1,315;292;524;819;1,187;285;544;791
E09000014;Haringey;35,510;53,372;82,504;171,386;36,527;50,320;89,196;176,043;34,667;57,417;76,313;168,396;32,431;53,693;88,887;175,011;314;291;285;288;290;101;260;530;1,071;186;378;538;1,160;168;423;722;1,068;145;300;626;1,179;167;316;522;958;119;308;621
E09000015;Harrow;31,292;39,919;110,297;181,508;26,711;42,691;107,708;177,110;23,841;37,482;119,281;180,604;23,766;43,389;118,279;185,434;194;192;185;186;187;101;294;466;624;115;206;291;459;88;188;274;488;108;241;345;491;137;244;350;476;89;173;243
E09000016;Havering;35,145;58,753;95,305;189,203;39,210;59,411;94,569;193,190;36,932;58,398;95,642;190,973;36,376;59,929;95,867;192,172;330;324;303;302;298;145;283;427;674;141;260;396;744;145;273;461;749;159;286;431;737;100;236;394;738;187;394;559
E09000017;Hillingdon;36,877;55,195;108,668;200,740;36,518;56,497;113,719;206,734;37,559;59,920;117,024;214,503;34,928;48,804;131,273;215,005;297;289;275;280;279;203;380;547;747;230;364;508;798;145;292;440;738;149;353;492;787;111;291;445;712;68;197;311
E09000018;Hounslow;34,332;48,713;105,857;188,902;30,726;53,303;100,390;184,419;31,297;53,732;99,758;184,788;24,820;49,806;114,065;188,691;303;283;279;276;282;89;180;479;956;171;334;462;744;192;460;703;1,033;187;396;576;789;203;400;628;939;162;357;503
E09000019;Islington;33,897;53,996;72,078;159,971;34,863;60,657;66,799;162,319;37,074;53,210;77,938;168,222;37,138;51,961;82,363;171,462;423;405;380;365;373;312;451;985;1,573;256;489;772;1,507;257;506;841;1,379;233;731;1,038;1,509;348;591;906;1,295;258;499;732
E09000020;Kensington and Chelsea;23,880;52,114;58,216;134,210;25,397;46,685;58,806;130,888;22,933;50,363;57,810;131,105;23,606;47,354;61,833;132,793;248;245;249;255;252;65;137;213;633;136;371;651;858;167;392;601;851;145;286;456;821;87;207;404;928;91;239;310
E09000021;Kingston upon Thames;25,589;45,070;67,930;138,589;24,868;42,616;68,964;136,448;20,542;48,635;66,509;135,686;23,400;48,770;67,168;139,338;273;257;249;249;247;142;258;391;553;111;210;319;496;86;187;244;497;91;197;276;489;93;188;291;557;107;222;322
E09000022;Lambeth;51,643;81,554;107,857;241,054;43,151;70,201;122,824;236,176;49,969;71,562;113,192;234,723;46,868;76,198;112,330;235,396;384;367;353;339;333;163;379;546;1,083;130;278;410;613;158;403;652;964;150;437;662;1,003;202;404;625;923;123;297;468
E09000023;Lewisham;43,198;68,005;97,988;209,191;46,557;61,261;97,763;205,581;45,177;61,971;104,025;211,172;42,388;67,239;96,327;205,954;388;372;344;333;333;138;311;456;763;199;357;508;819;170;336;503;788;158;344;508;757;168;328;490;821;157;292;490
E09000024;Merton;26,011;46,101;88,867;160,979;24,849;45,050;91,016;160,915;24,887;46,268;92,572;163,727;23,402;52,857;91,937;168,196;259;247;239;248;255;90;178;275;424;99;177;268;406;89;170;258;412;82;173;269;384;76;160;124;349;57;120;189
E09000025;Newham;39,905;39,439;106,277;185,621;36,535;33,825;107,361;177,721;27,206;24,144;121,878;173,228;32,895;30,726;111,330;174,951;317;309;295;288;288;231;449;610;1,138;314;554;770;1,224;278;499;763;1,215;236;472;682;1,251;231;338;586;933;207;369;530
E09000026;Redbridge;31,964;49,565;131,674;213,203;33,042;47,194;127,190;207,426;30,580;51,875;125,336;207,790;28,753;48,852;134,875;212,480;242;240;234;226;220;100;317;466;846;108;285;463;822;58;159;317;576;78;152;241;572;122;193;358;559;149;270;363
E09000027;Richmond upon Thames;23,936;62,293;57,602;143,831;31,915;57,343;58,837;148,095;21,100;65,898;63,646;150,643;17,417;61,285;73,624;152,326;258;248;237;250;244;87;158;256;395;68;150;265;411;77;159;235;390;67;131;223;407;39;102;196;429;87;160;255
E09000028;Southwark;46,878;72,577;105,802;225,257;45,054;56,067;128,649;229,770;45,574;54,176;131,636;231,386;48,778;66,999;119,503;235,280;382;375;361;347;330;56;177;314;567;80;191;;647;50;242;337;524;48;213;376;712;139;295;438;653;98;206;359
E09000029;Sutton;25,981;52,849;74,886;153,716;24,441;56,751;67,489;148,681;25,471;51,751;73,950;151,173;24,215;59,701;70,845;154,761;312;307;300;289;284;90;178;275;424;99;177;268;406;89;170;258;412;82;173;269;384;76;160;124;349;72;161;246
E09000030;Tower Hamlets;44,031;51,354;97,402;192,787;44,453;42,626;103,643;190,722;37,485;45,017;111,416;193,918;38,655;42,008;120,044;200,707;427;425;409;405;381;205;466;967;1,361;323;661;1,034;1,489;274;657;914;1,419;303;855;1,288;1,881;427;745;1,176;1,585;334;509;675
E09000031;Waltham Forest;33,260;52,926;86,990;173,176;37,832;47,389;91,697;176,918;39,991;42,658;90,696;173,345;31,557;40,064;103,272;174,893;331;313;307;307;288;119;265;603;1,080;126;262;454;960;88;184;296;570;149;273;443;681;107;203;342;639;160;319;453
E09000032;Wandsworth;45,113;69,845;114,360;229,318;40,794;72,313;112,401;225,508;32,873;87,199;118,442;238,514;38,708;80,173;114,541;233,422;328;312;299;295;296;76;138;189;427;90;179;286;539;139;287;413;563;156;317;437;625;136;277;431;595;127;265;432
E09000033;Westminster;39,112;65,499;95,914;200,525;45,862;59,551;100,422;205,835;35,346;59,785;112,444;207,575;38,410;54,815;114,387;207,612;234;235;240;247;236;320;527;750;1,065;243;495;754;1,024;234;480;724;1,033;235;402;587;902;184;401;638;921;228;416;533